"BLCK_CD(가맹점블록코드)","SB_UPJONG_CD(내국인업종코드)","TS_YM(기준년월)","TS_YMD(일별)","DAW(요일)","TM(시간대)","AMT_CORR(카드이용금액계)","USECT_CORR(카드이용건수)"
"223689","SB008","201812","20181208","토요일","17","9999","9999.999"
"223689","SB008","201812","20181208","토요일","18","9999","9999.999"
"223689","SB008","201812","20181208","토요일","19","9999","9999.999"
"223689","SB008","201812","20181208","토요일","20","9999","9999.999"
"223689","SB008","201812","20181209","일요일","11","9999","9999.999"
"223689","SB008","201812","20181209","일요일","13","9999","9999.999"
"223689","SB008","201812","20181209","일요일","15","9999","9999.999"
"223689","SB008","201812","20181209","일요일","18","9999","9999.999"
"223689","SB008","201812","20181209","일요일","21","9999","9999.999"
"223689","SB008","201812","20181210","월요일","09","9999","9999.999"
"223689","SB008","201812","20181210","월요일","10","9999","9999.999"
"223689","SB008","201812","20181210","월요일","12","9999","9999.999"
"223689","SB008","201812","20181210","월요일","15","9999","9999.999"
"223689","SB008","201812","20181210","월요일","17","9999","9999.999"
"223689","SB008","201812","20181211","화요일","12","9999","9999.999"
"223689","SB008","201812","20181211","화요일","14","9999","9999.999"
"223689","SB008","201812","20181212","수요일","12","9999","9999.999"
"223689","SB008","201812","20181212","수요일","13","9999","9999.999"
"223689","SB008","201812","20181212","수요일","20","9999","9999.999"
"223689","SB008","201812","20181213","목요일","16","9999","9999.999"
"223689","SB008","201812","20181213","목요일","19","9999","9999.999"
"223689","SB008","201812","20181214","금요일","09","9999","9999.999"
"223689","SB008","201812","20181214","금요일","15","9999","9999.999"
"223689","SB008","201812","20181214","금요일","16","9999","9999.999"
"223689","SB008","201812","20181214","금요일","19","9999","9999.999"
"223689","SB008","201812","20181215","토요일","13","9999","9999.999"
"223689","SB008","201812","20181215","토요일","14","9999","9999.999"
"223689","SB008","201812","20181215","토요일","16","9999","9999.999"
"223689","SB008","201812","20181215","토요일","17","9999","9999.999"
"223689","SB008","201812","20181215","토요일","18","9999","9999.999"
"223689","SB008","201812","20181215","토요일","21","9999","9999.999"
"223689","SB008","201812","20181216","일요일","14","9999","9999.999"
"223689","SB008","201812","20181216","일요일","15","9999","9999.999"
"223689","SB008","201812","20181217","월요일","13","9999","9999.999"
"223689","SB008","201812","20181218","화요일","09","9999","9999.999"
"223689","SB008","201812","20181218","화요일","10","9999","9999.999"
"223689","SB008","201812","20181218","화요일","12","9999","9999.999"
"223689","SB008","201812","20181218","화요일","14","9999","9999.999"
"223689","SB008","201812","20181218","화요일","20","9999","9999.999"
"223689","SB008","201812","20181218","화요일","21","9999","9999.999"
"223689","SB008","201812","20181219","수요일","09","9999","9999.999"
"223689","SB008","201812","20181219","수요일","16","9999","9999.999"
"223689","SB008","201812","20181219","수요일","17","9999","9999.999"
"223689","SB008","201812","20181219","수요일","18","9999","9999.999"
"223689","SB008","201812","20181219","수요일","19","9999","9999.999"
"223689","SB008","201812","20181219","수요일","20","9999","9999.999"
"223689","SB008","201812","20181220","목요일","11","9999","9999.999"
"223689","SB008","201812","20181220","목요일","12","9999","9999.999"
"223689","SB008","201812","20181220","목요일","13","9999","9999.999"
"223689","SB008","201812","20181220","목요일","14","9999","9999.999"
"223689","SB008","201812","20181220","목요일","19","9999","9999.999"
"223689","SB008","201812","20181221","금요일","20","9999","9999.999"
"223689","SB008","201812","20181222","토요일","11","9999","9999.999"
"223689","SB008","201812","20181222","토요일","13","9999","9999.999"
"223689","SB008","201812","20181222","토요일","17","9999","9999.999"
"223689","SB008","201812","20181222","토요일","18","9999","9999.999"
"223689","SB008","201812","20181222","토요일","20","9999","9999.999"
"223689","SB008","201812","20181223","일요일","13","9999","9999.999"
"223689","SB008","201812","20181223","일요일","14","9999","9999.999"
"223689","SB008","201812","20181223","일요일","15","9999","9999.999"
"223689","SB008","201812","20181223","일요일","17","9999","9999.999"
"223689","SB008","201812","20181223","일요일","19","9999","9999.999"
"223689","SB008","201812","20181223","일요일","20","9999","9999.999"
"223689","SB008","201812","20181224","월요일","10","9999","9999.999"
"223689","SB008","201812","20181224","월요일","12","9999","9999.999"
"223689","SB008","201812","20181224","월요일","14","9999","9999.999"
"223689","SB008","201812","20181224","월요일","15","9999","9999.999"
"223689","SB008","201812","20181225","화요일","13","9999","9999.999"
"223689","SB008","201812","20181225","화요일","14","9999","9999.999"
"223689","SB008","201812","20181225","화요일","17","9999","9999.999"
"223689","SB008","201812","20181226","수요일","10","9999","9999.999"
"223689","SB008","201812","20181226","수요일","11","9999","9999.999"
"223689","SB008","201812","20181226","수요일","13","9999","9999.999"
"223689","SB008","201812","20181226","수요일","20","9999","9999.999"
"223689","SB008","201812","20181227","목요일","09","9999","9999.999"
"223689","SB008","201812","20181227","목요일","13","9999","9999.999"
"223689","SB008","201812","20181227","목요일","17","9999","9999.999"
"223689","SB008","201812","20181227","목요일","18","9999","9999.999"
"223689","SB008","201812","20181228","금요일","09","9999","9999.999"
"223689","SB008","201812","20181228","금요일","10","9999","9999.999"
"223689","SB008","201812","20181228","금요일","13","9999","9999.999"
"223689","SB008","201812","20181228","금요일","14","9999","9999.999"
"223689","SB008","201812","20181228","금요일","20","9999","9999.999"
"223689","SB008","201812","20181229","토요일","17","9999","9999.999"
"223689","SB008","201812","20181229","토요일","21","9999","9999.999"
"223689","SB008","201812","20181230","일요일","15","9999","9999.999"
"223689","SB008","201812","20181230","일요일","16","9999","9999.999"
"223689","SB008","201812","20181230","일요일","18","9999","9999.999"
"223689","SB008","201812","20181230","일요일","20","9999","9999.999"
"223689","SB008","201812","20181231","월요일","09","9999","9999.999"
"223689","SB008","201812","20181231","월요일","14","9999","9999.999"
"223689","SB008","201812","20181231","월요일","15","9999","9999.999"
"223689","SB008","201812","20181231","월요일","17","9999","9999.999"
"223689","SB013","201812","20181201","토요일","09","9999","9999.999"
"223689","SB013","201812","20181201","토요일","10","9999","9999.999"
"223689","SB013","201812","20181201","토요일","11","9999","9999.999"
"223689","SB013","201812","20181201","토요일","12","9999","9999.999"
"223689","SB013","201812","20181201","토요일","13","9999","9999.999"
"223689","SB013","201812","20181201","토요일","14","9999","9999.999"
"223689","SB013","201812","20181201","토요일","15","9999","9999.999"
"223689","SB013","201812","20181201","토요일","16","9999","9999.999"
"223689","SB013","201812","20181201","토요일","17","9999","9999.999"
"223689","SB013","201812","20181201","토요일","18","9999","9999.999"
"223689","SB013","201812","20181201","토요일","19","9999","9999.999"
"223689","SB013","201812","20181201","토요일","20","9999","9999.999"
"223689","SB013","201812","20181201","토요일","21","9999","9999.999"
"223689","SB013","201812","20181201","토요일","22","9999","9999.999"
"223689","SB013","201812","20181202","일요일","10","9999","9999.999"
"223689","SB013","201812","20181202","일요일","12","9999","9999.999"
"223689","SB013","201812","20181202","일요일","14","9999","9999.999"
"223689","SB013","201812","20181202","일요일","15","9999","9999.999"
"223689","SB013","201812","20181202","일요일","16","9999","9999.999"
"223689","SB013","201812","20181202","일요일","17","9999","9999.999"
"223689","SB013","201812","20181202","일요일","19","9999","9999.999"
"223689","SB013","201812","20181202","일요일","20","9999","9999.999"
"223689","SB013","201812","20181202","일요일","21","9999","9999.999"
"223689","SB013","201812","20181202","일요일","22","9999","9999.999"
"223689","SB013","201812","20181203","월요일","12","9999","9999.999"
"223689","SB013","201812","20181203","월요일","13","9999","9999.999"
"223689","SB013","201812","20181203","월요일","14","9999","9999.999"
"223689","SB013","201812","20181203","월요일","15","9999","9999.999"
"223689","SB013","201812","20181203","월요일","16","9999","9999.999"
"223689","SB013","201812","20181203","월요일","17","9999","9999.999"
"223689","SB013","201812","20181203","월요일","18","9999","9999.999"
"223689","SB013","201812","20181203","월요일","19","9999","9999.999"
"223689","SB013","201812","20181203","월요일","20","9999","9999.999"
"223689","SB013","201812","20181203","월요일","21","9999","9999.999"
"223689","SB013","201812","20181203","월요일","23","9999","9999.999"
"223689","SB013","201812","20181204","화요일","09","9999","9999.999"
"223689","SB013","201812","20181204","화요일","10","9999","9999.999"
"223689","SB013","201812","20181204","화요일","11","9999","9999.999"
"223689","SB013","201812","20181204","화요일","15","9999","9999.999"
"223689","SB013","201812","20181204","화요일","16","9999","9999.999"
"223689","SB013","201812","20181204","화요일","17","9999","9999.999"
"223689","SB013","201812","20181204","화요일","18","9999","9999.999"
"223689","SB013","201812","20181204","화요일","19","9999","9999.999"
"223689","SB013","201812","20181204","화요일","20","9999","9999.999"
"223689","SB013","201812","20181204","화요일","21","9999","9999.999"
"223689","SB013","201812","20181204","화요일","22","9999","9999.999"
"223689","SB013","201812","20181205","수요일","09","9999","9999.999"
"223689","SB013","201812","20181205","수요일","12","9999","9999.999"
"223689","SB013","201812","20181205","수요일","13","9999","9999.999"
"223689","SB013","201812","20181205","수요일","14","9999","9999.999"
"223689","SB013","201812","20181205","수요일","16","9999","9999.999"
"223689","SB013","201812","20181205","수요일","18","9999","9999.999"
"223689","SB013","201812","20181205","수요일","19","9999","9999.999"
"223689","SB013","201812","20181205","수요일","20","9999","9999.999"
"223689","SB013","201812","20181205","수요일","22","9999","9999.999"
"223689","SB013","201812","20181206","목요일","09","9999","9999.999"
"223689","SB013","201812","20181206","목요일","10","9999","9999.999"
"223689","SB013","201812","20181206","목요일","12","9999","9999.999"
"223689","SB013","201812","20181206","목요일","13","9999","9999.999"
"223689","SB013","201812","20181206","목요일","14","9999","9999.999"
"223689","SB013","201812","20181206","목요일","15","9999","9999.999"
"223689","SB013","201812","20181206","목요일","16","9999","9999.999"
"223689","SB013","201812","20181206","목요일","17","9999","9999.999"
"223689","SB013","201812","20181206","목요일","18","9999","9999.999"
"223689","SB013","201812","20181206","목요일","19","9999","9999.999"
"223689","SB013","201812","20181206","목요일","21","9999","9999.999"
"223689","SB013","201812","20181206","목요일","22","9999","9999.999"
"223689","SB013","201812","20181207","금요일","13","9999","9999.999"
"223689","SB013","201812","20181207","금요일","15","9999","9999.999"
"223689","SB013","201812","20181207","금요일","16","9999","9999.999"
"223689","SB013","201812","20181207","금요일","17","9999","9999.999"
"223689","SB013","201812","20181207","금요일","18","9999","9999.999"
"223689","SB013","201812","20181207","금요일","19","9999","9999.999"
"223689","SB013","201812","20181207","금요일","21","9999","9999.999"
"223689","SB013","201812","20181207","금요일","22","9999","9999.999"
"223689","SB013","201812","20181208","토요일","10","9999","9999.999"
"223689","SB013","201812","20181208","토요일","12","9999","9999.999"
"223689","SB013","201812","20181208","토요일","14","9999","9999.999"
"223689","SB013","201812","20181208","토요일","15","9999","9999.999"
"223689","SB013","201812","20181208","토요일","17","9999","9999.999"
"223689","SB013","201812","20181208","토요일","18","9999","9999.999"
"223689","SB013","201812","20181208","토요일","19","9999","9999.999"
"223689","SB013","201812","20181208","토요일","20","9999","9999.999"
"223689","SB013","201812","20181208","토요일","21","9999","9999.999"
"223689","SB013","201812","20181208","토요일","22","9999","9999.999"
"223689","SB013","201812","20181209","일요일","09","9999","9999.999"
"223689","SB013","201812","20181209","일요일","10","9999","9999.999"
"223689","SB013","201812","20181209","일요일","11","9999","9999.999"
"223689","SB013","201812","20181209","일요일","12","9999","9999.999"
"223689","SB013","201812","20181209","일요일","14","9999","9999.999"
"223689","SB013","201812","20181209","일요일","15","9999","9999.999"
"223689","SB013","201812","20181209","일요일","16","9999","9999.999"
"223689","SB013","201812","20181209","일요일","17","9999","9999.999"
"223689","SB013","201812","20181209","일요일","18","9999","9999.999"
"223689","SB013","201812","20181209","일요일","19","9999","9999.999"
"223689","SB013","201812","20181209","일요일","20","9999","9999.999"
"223689","SB013","201812","20181209","일요일","21","9999","9999.999"
"223689","SB013","201812","20181209","일요일","22","9999","9999.999"
"223689","SB013","201812","20181210","월요일","12","9999","9999.999"
"223689","SB013","201812","20181210","월요일","14","9999","9999.999"
"223689","SB013","201812","20181210","월요일","15","9999","9999.999"
"223689","SB013","201812","20181210","월요일","16","9999","9999.999"
"223689","SB013","201812","20181210","월요일","18","9999","9999.999"
"223689","SB013","201812","20181210","월요일","19","9999","9999.999"
"223689","SB013","201812","20181210","월요일","20","9999","9999.999"
"223689","SB013","201812","20181210","월요일","22","9999","9999.999"
"223689","SB013","201812","20181211","화요일","09","9999","9999.999"
"223689","SB013","201812","20181211","화요일","10","9999","9999.999"
"223689","SB013","201812","20181211","화요일","11","9999","9999.999"
"223689","SB013","201812","20181211","화요일","12","9999","9999.999"
"223689","SB013","201812","20181211","화요일","13","9999","9999.999"
"223689","SB013","201812","20181211","화요일","14","9999","9999.999"
"223689","SB013","201812","20181211","화요일","16","9999","9999.999"
"223689","SB013","201812","20181211","화요일","17","9999","9999.999"
"223689","SB013","201812","20181211","화요일","18","9999","9999.999"
"223689","SB013","201812","20181211","화요일","19","9999","9999.999"
"223689","SB013","201812","20181211","화요일","20","9999","9999.999"
"223689","SB013","201812","20181211","화요일","21","9999","9999.999"
"223689","SB013","201812","20181211","화요일","22","9999","9999.999"
"223689","SB013","201812","20181212","수요일","11","9999","9999.999"
"223689","SB013","201812","20181212","수요일","12","9999","9999.999"
"223689","SB013","201812","20181212","수요일","15","9999","9999.999"
"223689","SB013","201812","20181212","수요일","16","9999","9999.999"
"223689","SB013","201812","20181212","수요일","17","9999","9999.999"
"223689","SB013","201812","20181212","수요일","18","9999","9999.999"
"223689","SB013","201812","20181212","수요일","19","9999","9999.999"
"223689","SB013","201812","20181212","수요일","20","9999","9999.999"
"223689","SB013","201812","20181212","수요일","21","9999","9999.999"
"223689","SB013","201812","20181212","수요일","22","9999","9999.999"
"223689","SB013","201812","20181212","수요일","23","9999","9999.999"
"223689","SB013","201812","20181213","목요일","10","9999","9999.999"
"223689","SB013","201812","20181213","목요일","11","9999","9999.999"
"223689","SB013","201812","20181213","목요일","12","9999","9999.999"
"223689","SB013","201812","20181213","목요일","15","9999","9999.999"
"223689","SB013","201812","20181213","목요일","16","9999","9999.999"
"223689","SB013","201812","20181213","목요일","17","9999","9999.999"
"223689","SB013","201812","20181213","목요일","18","9999","9999.999"
"223689","SB013","201812","20181213","목요일","19","9999","9999.999"
"223689","SB013","201812","20181213","목요일","20","9999","9999.999"
"223689","SB013","201812","20181213","목요일","21","9999","9999.999"
"223689","SB013","201812","20181213","목요일","22","9999","9999.999"
"223689","SB013","201812","20181213","목요일","23","9999","9999.999"
"223689","SB013","201812","20181214","금요일","10","9999","9999.999"
"223689","SB013","201812","20181214","금요일","13","9999","9999.999"
"223689","SB013","201812","20181214","금요일","14","9999","9999.999"
"223689","SB013","201812","20181214","금요일","15","9999","9999.999"
"223689","SB013","201812","20181214","금요일","18","9999","9999.999"
"223689","SB013","201812","20181214","금요일","19","9999","9999.999"
"223689","SB013","201812","20181214","금요일","20","9999","9999.999"
"223689","SB013","201812","20181214","금요일","22","9999","9999.999"
"223689","SB013","201812","20181215","토요일","10","9999","9999.999"
"223689","SB013","201812","20181215","토요일","11","9999","9999.999"
"223689","SB013","201812","20181215","토요일","12","9999","9999.999"
"223689","SB013","201812","20181215","토요일","13","9999","9999.999"
"223689","SB013","201812","20181215","토요일","14","9999","9999.999"
"223689","SB013","201812","20181215","토요일","15","9999","9999.999"
"223689","SB013","201812","20181215","토요일","17","9999","9999.999"
"223689","SB013","201812","20181215","토요일","18","9999","9999.999"
"223689","SB013","201812","20181215","토요일","19","9999","9999.999"
"223689","SB013","201812","20181215","토요일","20","9999","9999.999"
"223689","SB013","201812","20181215","토요일","21","9999","9999.999"
"223689","SB013","201812","20181215","토요일","23","9999","9999.999"
"223689","SB013","201812","20181216","일요일","11","9999","9999.999"
"223689","SB013","201812","20181216","일요일","12","9999","9999.999"
"223689","SB013","201812","20181216","일요일","13","9999","9999.999"
"223689","SB013","201812","20181216","일요일","14","9999","9999.999"
"223689","SB013","201812","20181216","일요일","15","9999","9999.999"
"223689","SB013","201812","20181216","일요일","16","9999","9999.999"
"223689","SB013","201812","20181216","일요일","17","9999","9999.999"
"223689","SB013","201812","20181216","일요일","18","9999","9999.999"
"223689","SB013","201812","20181216","일요일","20","9999","9999.999"
"223689","SB013","201812","20181216","일요일","21","9999","9999.999"
"223689","SB013","201812","20181216","일요일","22","9999","9999.999"
"223689","SB013","201812","20181217","월요일","09","9999","9999.999"
"223689","SB013","201812","20181217","월요일","12","9999","9999.999"
"223689","SB013","201812","20181217","월요일","14","9999","9999.999"
"223689","SB013","201812","20181217","월요일","15","9999","9999.999"
"223689","SB013","201812","20181217","월요일","16","9999","9999.999"
"223689","SB013","201812","20181217","월요일","17","9999","9999.999"
"223689","SB013","201812","20181217","월요일","18","9999","9999.999"
"223689","SB013","201812","20181217","월요일","19","9999","9999.999"
"223689","SB013","201812","20181217","월요일","20","9999","9999.999"
"223689","SB013","201812","20181217","월요일","21","9999","9999.999"
"223689","SB013","201812","20181218","화요일","09","9999","9999.999"
"223689","SB013","201812","20181218","화요일","11","9999","9999.999"
"223689","SB013","201812","20181218","화요일","12","9999","9999.999"
"223689","SB013","201812","20181218","화요일","13","9999","9999.999"
"223689","SB013","201812","20181218","화요일","14","9999","9999.999"
"223689","SB013","201812","20181218","화요일","15","9999","9999.999"
"223689","SB013","201812","20181218","화요일","17","9999","9999.999"
"223689","SB013","201812","20181218","화요일","18","9999","9999.999"
"223689","SB013","201812","20181218","화요일","19","9999","9999.999"
"223689","SB013","201812","20181218","화요일","20","9999","9999.999"
"223689","SB013","201812","20181218","화요일","21","9999","9999.999"
"223689","SB013","201812","20181219","수요일","10","9999","9999.999"
"223689","SB013","201812","20181219","수요일","11","9999","9999.999"
"223689","SB013","201812","20181219","수요일","15","9999","9999.999"
"223689","SB013","201812","20181219","수요일","16","9999","9999.999"
"223689","SB013","201812","20181219","수요일","17","9999","9999.999"
"223689","SB013","201812","20181219","수요일","18","9999","9999.999"
"223689","SB013","201812","20181219","수요일","19","9999","9999.999"
"223689","SB013","201812","20181219","수요일","20","9999","9999.999"
"223689","SB013","201812","20181219","수요일","21","9999","9999.999"
"223689","SB013","201812","20181219","수요일","22","9999","9999.999"
"223689","SB013","201812","20181219","수요일","23","9999","9999.999"
"223689","SB013","201812","20181220","목요일","10","9999","9999.999"
"223689","SB013","201812","20181220","목요일","14","9999","9999.999"
"223689","SB013","201812","20181220","목요일","18","9999","9999.999"
"223689","SB013","201812","20181220","목요일","19","9999","9999.999"
"223689","SB013","201812","20181220","목요일","20","9999","9999.999"
"223689","SB013","201812","20181220","목요일","21","9999","9999.999"
"223689","SB013","201812","20181220","목요일","23","9999","9999.999"
"223689","SB013","201812","20181221","금요일","10","9999","9999.999"
"223689","SB013","201812","20181221","금요일","13","9999","9999.999"
"223689","SB013","201812","20181221","금요일","15","9999","9999.999"
"223689","SB013","201812","20181221","금요일","16","9999","9999.999"
"223689","SB013","201812","20181221","금요일","17","9999","9999.999"
"223689","SB013","201812","20181221","금요일","18","9999","9999.999"
"223689","SB013","201812","20181221","금요일","19","9999","9999.999"
"223689","SB013","201812","20181221","금요일","20","9999","9999.999"
"223689","SB013","201812","20181221","금요일","22","9999","9999.999"
"223689","SB013","201812","20181221","금요일","23","9999","9999.999"
"223689","SB013","201812","20181222","토요일","10","9999","9999.999"
"223689","SB013","201812","20181222","토요일","11","9999","9999.999"
"223689","SB013","201812","20181222","토요일","12","9999","9999.999"
"223689","SB013","201812","20181222","토요일","13","9999","9999.999"
"223689","SB013","201812","20181222","토요일","14","9999","9999.999"
"223689","SB013","201812","20181222","토요일","15","9999","9999.999"
"223689","SB013","201812","20181222","토요일","16","9999","9999.999"
"223689","SB013","201812","20181222","토요일","17","9999","9999.999"
"223689","SB013","201812","20181222","토요일","18","9999","9999.999"
"223689","SB013","201812","20181222","토요일","19","9999","9999.999"
"223689","SB013","201812","20181222","토요일","20","9999","9999.999"
"223689","SB013","201812","20181222","토요일","21","9999","9999.999"
"223689","SB013","201812","20181223","일요일","11","9999","9999.999"
"223689","SB013","201812","20181223","일요일","12","9999","9999.999"
"223689","SB013","201812","20181223","일요일","15","9999","9999.999"
"223689","SB013","201812","20181223","일요일","16","9999","9999.999"
"223689","SB013","201812","20181223","일요일","17","9999","9999.999"
"223689","SB013","201812","20181223","일요일","18","9999","9999.999"
"223689","SB013","201812","20181223","일요일","19","9999","9999.999"
"223689","SB013","201812","20181223","일요일","20","9999","9999.999"
"223689","SB013","201812","20181223","일요일","21","9999","9999.999"
"223689","SB013","201812","20181223","일요일","23","9999","9999.999"
"223689","SB013","201812","20181224","월요일","09","9999","9999.999"
"223689","SB013","201812","20181224","월요일","10","9999","9999.999"
"223689","SB013","201812","20181224","월요일","12","9999","9999.999"
"223689","SB013","201812","20181224","월요일","13","9999","9999.999"
"223689","SB013","201812","20181224","월요일","14","9999","9999.999"
"223689","SB013","201812","20181224","월요일","15","9999","9999.999"
"223689","SB013","201812","20181224","월요일","16","9999","9999.999"
"223689","SB013","201812","20181224","월요일","18","9999","9999.999"
"223689","SB013","201812","20181224","월요일","19","9999","9999.999"
"223689","SB013","201812","20181224","월요일","20","9999","9999.999"
"223689","SB013","201812","20181224","월요일","21","9999","9999.999"
"223689","SB013","201812","20181224","월요일","22","9999","9999.999"
"223689","SB013","201812","20181225","화요일","09","9999","9999.999"
"223689","SB013","201812","20181225","화요일","11","9999","9999.999"
"223689","SB013","201812","20181225","화요일","14","9999","9999.999"
"223689","SB013","201812","20181225","화요일","15","9999","9999.999"
"223689","SB013","201812","20181225","화요일","16","9999","9999.999"
"223689","SB013","201812","20181225","화요일","17","9999","9999.999"
"223689","SB013","201812","20181225","화요일","18","9999","9999.999"
"223689","SB013","201812","20181225","화요일","19","9999","9999.999"
"223689","SB013","201812","20181225","화요일","20","9999","9999.999"
"223689","SB013","201812","20181225","화요일","22","9999","9999.999"
"223689","SB013","201812","20181226","수요일","09","9999","9999.999"
"223689","SB013","201812","20181226","수요일","10","9999","9999.999"
"223689","SB013","201812","20181226","수요일","11","9999","9999.999"
"223689","SB013","201812","20181226","수요일","12","9999","9999.999"
"223689","SB013","201812","20181226","수요일","13","9999","9999.999"
"223689","SB013","201812","20181226","수요일","14","9999","9999.999"
"223689","SB013","201812","20181226","수요일","15","9999","9999.999"
"223689","SB013","201812","20181226","수요일","16","9999","9999.999"
"223689","SB013","201812","20181226","수요일","17","9999","9999.999"
"223689","SB013","201812","20181226","수요일","18","9999","9999.999"
"223689","SB013","201812","20181226","수요일","19","9999","9999.999"
"223689","SB013","201812","20181226","수요일","20","9999","9999.999"
"223689","SB013","201812","20181226","수요일","21","9999","9999.999"
"223689","SB013","201812","20181226","수요일","22","9999","9999.999"
"223689","SB013","201812","20181227","목요일","09","9999","9999.999"
"223689","SB013","201812","20181227","목요일","10","9999","9999.999"
"223689","SB013","201812","20181227","목요일","11","9999","9999.999"
"223689","SB013","201812","20181227","목요일","12","9999","9999.999"
"223689","SB013","201812","20181227","목요일","14","9999","9999.999"
"223689","SB013","201812","20181227","목요일","16","9999","9999.999"
"223689","SB013","201812","20181227","목요일","17","9999","9999.999"
"223689","SB013","201812","20181227","목요일","18","9999","9999.999"
"223689","SB013","201812","20181227","목요일","19","9999","9999.999"
"223689","SB013","201812","20181227","목요일","20","9999","9999.999"
"223689","SB013","201812","20181227","목요일","21","9999","9999.999"
"223689","SB013","201812","20181228","금요일","13","9999","9999.999"
"223689","SB013","201812","20181228","금요일","16","9999","9999.999"
"223689","SB013","201812","20181228","금요일","18","9999","9999.999"
"223689","SB013","201812","20181228","금요일","19","9999","9999.999"
"223689","SB013","201812","20181228","금요일","20","9999","9999.999"
"223689","SB013","201812","20181228","금요일","22","9999","9999.999"
"223689","SB013","201812","20181229","토요일","10","9999","9999.999"
"223689","SB013","201812","20181229","토요일","12","9999","9999.999"
"223689","SB013","201812","20181229","토요일","14","9999","9999.999"
"223689","SB013","201812","20181229","토요일","15","9999","9999.999"
"223689","SB013","201812","20181229","토요일","17","9999","9999.999"
"223689","SB013","201812","20181229","토요일","18","9999","9999.999"
"223689","SB013","201812","20181229","토요일","19","9999","9999.999"
"223689","SB013","201812","20181229","토요일","21","9999","9999.999"
"223689","SB013","201812","20181229","토요일","22","9999","9999.999"
"223689","SB013","201812","20181229","토요일","23","9999","9999.999"
"223689","SB013","201812","20181230","일요일","10","9999","9999.999"
"223689","SB013","201812","20181230","일요일","11","9999","9999.999"
"223689","SB013","201812","20181230","일요일","12","9999","9999.999"
"223689","SB013","201812","20181230","일요일","13","9999","9999.999"
"223689","SB013","201812","20181230","일요일","15","9999","9999.999"
"223689","SB013","201812","20181230","일요일","16","9999","9999.999"
"223689","SB013","201812","20181230","일요일","17","9999","9999.999"
"223689","SB013","201812","20181230","일요일","18","9999","9999.999"
"223689","SB013","201812","20181230","일요일","19","9999","9999.999"
"223689","SB013","201812","20181230","일요일","20","9999","9999.999"
"223689","SB013","201812","20181230","일요일","21","9999","9999.999"
"223689","SB013","201812","20181231","월요일","12","9999","9999.999"
"223689","SB013","201812","20181231","월요일","13","9999","9999.999"
"223689","SB013","201812","20181231","월요일","14","9999","9999.999"
"223689","SB013","201812","20181231","월요일","15","9999","9999.999"
"223689","SB013","201812","20181231","월요일","16","9999","9999.999"
"223689","SB013","201812","20181231","월요일","18","9999","9999.999"
"223689","SB013","201812","20181231","월요일","19","9999","9999.999"
"223689","SB013","201812","20181231","월요일","20","9999","9999.999"
"223689","SB013","201812","20181231","월요일","21","9999","9999.999"
